AAJ   Åmål - Årjäng
NTX   Nacksta 513 - Nacksta 511
NVM   Norrköpings östra - Valdemarsvik
NVV   Norsholm - Västervik
NYF   Nyfors 1 - Älvsbyn växel
NYX   Nyfors 2 - Nyfors 4
NXN   Nykroppa - Nykroppa 101
NXV   Nykroppa - Hornkullen
OBV   Olsfors - Bergsviken
ODM   Örbyhus - Dannemora
OHS   Oskarshamn - Sevedstorp
ORS   Örebro - Svartå
OSA   Ormaryd - Smålands Anneberg
OSB   Örebro - Skebäck
OSF   Orrskog - Söderfors
OST   Östersunds västra - Storuman
OUV   Orrskog - Untraverket
OVA   Ovansjö - Ånge godsbangård
OVG   Örnsköldsviks central - Gimmonäs
OXO   Oxmyran - Öreälv
OXV   Oxelösund - Valskog
OXX   Öxnered 124 - Öxnered 125
PBG   Persberg - Persbergs gruva
PBO   Pålsboda - Örebro södra
PBX   Malmö Persborg - Hindby
PEX   Peuravaara - Peuravaara 432
PHL   Peberholm riksgräns - Lernacken
PHM   Piteå - Haraholmen
PHT   Pershyttan övre - Pershyttan växel
PKI   Peuravaara - Kiruna malmbangård
PNK   Pålsboda - Norrköpings östra
RFS   Robertsfors - Sikeå hamn
RGH   Ropsten - Gåshaga brygga
RHB   Romakloster - Hablingbo
RHH   Ronehamn - Hemse
RHL   Riddarhyttan - Lerklockan
RIB   Rämshyttan - Idkerberget
RKB   Rekarne - Kolbäck
RKS   Romakloster - Slite
RLK   Ramlösa - Kävlinge
RNO   Roslags Näsby - Österskär
RNT   Rimbo - Norrtälje hamn
RNV   Risinge - Norrvällen
RPV   Råtsi - Peuravaara
RRH   Ronneby - Ronneby hamn
RSV   Råtsi - Svappavaara
RSX   Råtsi 401 - Råtsi 442
RUP   Rimbo - Uppsala Ö
SAM   Skavstaby - Arlanda central - Myrbacken
SAV   Skövde - Axvall
SBH   Sölvesborg - Hörviken
SBL   Slind - Boliden
SBT   Svensbro - Tidaholm
SDF   Striberg - Degerfors
SDR   Skälebol - Dals Rostock
SEB   Sjögränd - Edebäck
SET   Södertälje hamn - Eskilstuna central
SGM   Storå - Guldsmedshyttan
SHB   Stockholms central - Boden central
SHC   Södertälje hamn - Södertälje centrum
SHG   Sala - Hagaström
SHH   Stockholms östra - Hallstavik
SHL   Söderhamns västra - Locket
SHN   Skelleftehamns övre - Skelleftehamns nedre
SHV   Stockholm - Västerås norra
SHX   Söderhamns västra 20 - Söderhams västra 21
SKB   Skövde - Karlsborg
SLA   Stockholms Södra - Liljeholmen - Älvsjö
SLK   Stenstorp - Lidköping
SLT   Stocksund - Långängstorp
SLV   Spånga - Lövsta
SMB   Södertälje hamm - Mälarbaden
SMG   Silverhöjden - Mossgruvan
SML   Sävsjö - Målilla
SMX   Storuman 26 - Storuman 24
SNV   Spångenäs - Vimmerby
SOS   Sandbäck - Olofström
SSA   Storå - Stråssa
SSB   Slussen - Saltsjöbaden
SSH   Säby - Säbyholm
SSV   Stålboga - Skebokvarn
STD   Skara - Timmersdala
STH   Stenstorp - Hjo
STS   Södertälje syd övre - Mot Eskilstuna
SUS   Sundbyberg N - Ulvsundasjön
SVB   Stockholm - Vansbro
SVH   Sveg - Hede
SVT   Skönvik - Tunadal
SXT   Svågertorp - Lockarp 862
SXY   Svågertorp - Lockarp 860
TAA   Tollarp - Åhus
TBH   Tumleberg - Håkantorp
TBK   Torsås - Bergkvara
TBS   Tillberga - Sala
TBV   Tomteboda bangård - Värtan
TGB   Torsås - Gullberna
TGS   Torved - Gullspång
THB   Torup - Hyltebruk
THN   Trollhättan - Nossebro
TKP   Tillberga - Köping
TOX   Torup 101 - Torup 102
TRL   Triangeln - Ramlösa brunnspark öster
TSB   Tierp - Strömsberg
TSG   Torsås - Gullaboby
TSO   Tomelilla - S:t Olov
UEK   Uppsala norra – Enköping
UFK   Uggelfors - Krampen
UFS   Ulriksfors - Strömsund
USL   Uppsala - Sundsvall - Långsele
UVB   Uddevalla hamn - Bebgtsfors V
UVV   Uddevalla central - Varberg
VBD   Växjö - Bredåkra
VBK   Varberg - Kinnared
VBS   Vansbro - Särna
VBV   Visby - Burgsvik
VBY   Vimmerby - Ydrefors
VFB   Vellinge - Falsterbo
VHH   Veinge - Hässleholm
VHS   Vännäs - Holmsund
VHV   Visby - Hallvards
VJS   Vintjärn - Svartbäcken
VKB   Värnamo - Kärreberga
VLB   Visby - Lärbro
VLN   Voxna - Lobonäs
VMT   Vikmanshyttan - Turbo
VNX   Vännäs norra - Vännäs 409
VOV   Västeraspby - Örnsköldsvik
VRO   Värtan - Ropsten
VRV   Vattjom - Runsvik
VSB   Väderstad - Bränninge
VSH   Vallvik - Söderhamns västra
VTA   Vartofta - Åsarp
VTH   Vartofta - Tidaholm
VVX   Vallvik 6 - Ljusne bruk

# To do

      458 Malmö triangelspår

