# Linee Ferroviarie Italiane
#

TAQ     Trieste Campo Marzio Sm. - Trieste Aquilinia
TAS     Tortona - Arquata Scrivia
TBC     Trieste Central G.S. Barcola - Trieste Campo Marzio Sm.
TBP     Torreberetti - Pavia
TBR     Treviglio - Bergamo - Rovato
TCB     Cigliano - Bianzè
TCE     Trieste Campo Marzio - Sant’Elia confine
TCI     Trofarello - Chieri
TCL     Trevisio - Calalzo di Cadore
TCN     Novara Ovest - Novara Boschetto
TCO     Bivio Crocetta - Torino S. Paolo - Torino Orbassano
TCS     Tortona - Castelnuovo Scrivia
TCU     Trofarello - Cuneo
TGP     Quadrivio Turro - Milano Grecco Pirelli
TGR     Trieste Centrale G.S. Gretta - G.S. Roiano
TLS     Torino Lingotto - Torino Porta Susa - Bivio Settimo
TLT     Torino Lingotto - Trofarello (linea Savona)
TMC     Torino Stura - Milano Certosa (A.V.)
TMM     Tolmezzo - Moscardo
TMR     Quadrivio Turro - Bivio Mirabello
TMZ     Trento - Mezzana
TOC     Torino Porta Milano - Ceres
TOM     Torino - Bardonecchia confine
TOP     Trieste Campo Marzio - Villa Opicina confine
TOR     Torino Porta Nuova - Rho
TPC     Treviso Centrale - Portogruaro-Caorle
TPL     Torino Porta Nuova - Torino Sm. Nord - Torino Lingotto
TPO     Bivio Pronda - Torino Orbassano
TPR     (Torino -) Bivio Sangone - Pinerolo
TRC     Thiene - Rocchette
TRI     Trieste Centrale - Trieste Campo Marzio
TSZ     Torino Sm. Nord - Quadriva Zappata
TVL     Tarvisio - Confine verso Lubiana
TVO     Trieste - Villa Opicina confine
UCV     Udine - Cividale
UDM     Udine - Bivio San Polo (- Monfalcone)
UPV     Udine Parco - PM Vat
USG     Udine - San Giorgio di Nogaro
UTA     Udine - Tarvisio confine
UVT     Udine - Tarvisio confine (vecchia tratta)
VAV     Verona - Venezia Mestre (AV)
VCM     Villa Santina - Comeglians
VCO     Ventimiglia - Ventimiglia confine
VCR     Verona Porta San Giorgio - Caprino Veronese
VEB     Verona - Brennero confine
VET     Venezia Mestre - Bivio d’Aurisina (- Trieste)
VGV     Voghera - Varzi
VMC     Vercelli - Mortara - Cava-Carbonara
VMM     Venezia Mestre - Maerne di Martellago
VMT     Venezia Mestre - Trento
VOP     Voghera - Bivio Gravellone (- Pavia)
VPC     Varese - Porto Ceresio
VSC     (Vicenza -) Doppio Bivio Bacchiglione - Schio
VST     (Varese -) PM Bevera - Gaggiolo confine (- Stabio)
VTV     Vicenza - Trevisio Centrale
VUD     Venezia Mestre - Udine
VVC     Valenza - Vercelli


## Area 1

        Linee nodo di Genova
        Genova Bolzaneto - Genova Sampierdarena
        Genova Compasso - Bivio Succursale
        Linee di Savona
        Ventimiglia - Ventimiglia Parco Roja
