        Sędziszów Wąskotorowy [8] - Szczekociny
        Starachowice Wschodnie Wąskotorowe [25] - Iłża
        Las Kobylina - Garbatka Letnisko Wąskotorowa [26]
        Charsznica Wąskotorowa [62] - Kocmyrzów Wąskotorowy
        Bełżec Wąskotorowy - Trawniki Wąskotorowe [7]
        Krasnystaw Wąskotorowy [69] - Chełm Wąskotorowy [7]
        Ruskie Piaski Wąskotorowe [Krazak, 69] - Wierzbica
        Klemensów [Niedzieliska-Kolonia, 69] - Czarny Wygon
        Zamość Wąskotorowy - Zwierzyniec Wąskotorowy [69]
        Zwierzyniec Wąskotorowy [69] - Biłgoraj Wąskotorowy
        Zwierzyniec Towarowy [69] - Józefów Roztoczański [69]
        Bełżec Wąskotorowy [69] - Trawniki Wąskotorowe
        Werbkowice [72] - Werbkowice Cukrownia
        Werbkowice Wąskotorowe [72] - Byków
        Werbkowice Wąskotorowe [72] - Kosmów
        Werbkowice Wąskotorowe [72] - Strzyżów Hrubieszowski
        Stawiany Pińczowskie [73] - Pińczów Towarowy


# K

        Bogumiłowice [91] - Komorów Dolny
        Przeworsk Wąskotorowy [91] - Dynów
        Żwirownia w Latoszynie - Cegielnia w Dębicy [91]
        Chybie Wąskotorowe [93] - Strumień Wąskotorowy
        Kraków Główny Osobowy - Kraków Bonarka [94]
        Kraków Zakrzówek - Krakowskie Zakłady Sodowe Solvay
        Kraków Czyżyny - Grębałów
        Stryszów [97] - Zembrzyce Nowe [97]
        Nowa Grobla [101] - Дубинки
        Okleśna [103] - Kamieniołom Orley
        Rzepedź Wąskotorowa [107] - Moczarne
        Nowy Łupków Wąskotorowy [107] - Smolnik Trójkąt
        Charsznica Wąskotorowa - Kocmyrzów Wąskotorowy [111]
        Krzeszowice [133] - Zalas

# P

        Ruchenna - Koło Wąskotorowe
        Opalenica Wąskotorowa [3] - Lwówek Wąskotorowy
        Nowy Tomyśl Wąskotorowy [3] - Duszniki Wielkopolskie
        Chlastawa [3] - Boleń [3]
        Opatówek Wąskotorowy [14] - Żelazków
        Ociąż [14] - Kucharki
        Domachowo - Karzec [14]
        Zielona Góra - Szprotawa [14]
